path,id
Crime/Angry/0063,0
DailyLife/Angry/0619,0
Argue/Surprise/0196,6
Medicine/Happy/0044,3
Medicine/Angry/0020,0
History/Angry/0408,0
Argue/Happy/0405,3
OfficialEvent/Happy/0087,3
Interview/Angry/0099,0
Terror/Fear/0130,2
Talkshow/Neutral/0263,4
Interview/Sad/0111,5
Action/Angry/0030,0
DailyLife/Angry/0211,0
School/Neutral/0324,4
History/Sad/0645,5
Business/Neutral/0247,4
War/Angry/0527,0
Interview/Sad/0287,5
Crisis/Neutral/0189,4
Action/Neutral/0123,4
Speech/Neutral/0422,4
Argue/Sad/0092,5
Contest/Surprise/0126,6
Contest/Happy/0357,3
Interview/Neutral/0323,4
History/Disgust/0018,1
Crime/Neutral/0164,4
History/Angry/0169,0
School/Disgust/0164,1
War/Disgust/0067,1
Speech/Angry/0292,0
Liveshow/Neutral/0309,4
ScholarReport/Surprise/0058,6
Talkshow/Happy/0244,3
Liveshow/Neutral/0254,4
DailyLife/Sad/0432,5
War/Neutral/0310,4
War/Sad/0571,5
Contest/Neutral/0279,4
Business/Happy/0109,3
Action/Happy/0159,3
Terror/Sad/0405,5
Liveshow/Neutral/0369,4
Crime/Fear/0121,2
DailyLife/Fear/0132,2
War/Angry/0180,0
Talkshow/Surprise/0128,6
Medicine/Neutral/0168,4
Speech/Happy/0281,3
War/Fear/0105,2
War/Sad/0295,5
Interview/Sad/0096,5
DailyLife/Sad/0120,5
Interview/Happy/0169,3
ElegantArt/Sad/0296,5
ScholarReport/Happy/0310,3
Liveshow/Disgust/0109,1
War/Sad/0131,5
Argue/Happy/0176,3
ScholarReport/Sad/0209,5
Crime/Angry/0090,0
Social/Sad/0030,5
Talkshow/Neutral/0271,4
School/Happy/0038,3
War/Happy/0275,3
History/Neutral/0342,4
Contest/Sad/0251,5
Talkshow/Surprise/0191,6
DailyLife/Neutral/0442,4
OfficialEvent/Sad/0031,5
School/Surprise/0150,6
Talkshow/Happy/0433,3
Crime/Fear/0044,2
DailyLife/Sad/0158,5
War/Neutral/0191,4
Speech/Neutral/0240,4
Business/Happy/0142,3
Terror/Neutral/0143,4
Interview/Happy/0320,3
Terror/Surprise/0097,6
Action/Happy/0130,3
Contest/Happy/0605,3
ElegantArt/Angry/0135,0
OfficialEvent/Angry/0213,0
Contest/Happy/0601,3
OfficialEvent/Angry/0250,0
Terror/Neutral/0276,4
War/Angry/0430,0
Talkshow/Happy/0259,3
Contest/Sad/0364,5
Argue/Happy/0279,3
History/Fear/0163,2
Experiment/Sad/0004,5
School/Neutral/0284,4
ElegantArt/Sad/0082,5
Conflict/Sad/0255,5
Interview/Fear/0014,2
Terror/Sad/0159,5
Contest/Neutral/0590,4
Talkshow/Angry/0131,0
DailyLife/Angry/0327,0
Crime/Fear/0071,2
Contest/Surprise/0103,6
ElegantArt/Sad/0178,5
Action/Disgust/0014,1
School/Neutral/0238,4
History/Sad/0338,5
War/Angry/0300,0
Terror/Angry/0370,0
Argue/Angry/0480,0
Business/Surprise/0085,6
Medicine/Neutral/0169,4
School/Angry/0364,0
Crisis/Happy/0090,3
Argue/Neutral/0191,4
Social/Disgust/0057,1
Contest/Sad/0293,5
OfficialEvent/Neutral/0397,4
Social/Neutral/0251,4
Crime/Happy/0117,3
Terror/Angry/0271,0
DailyLife/Happy/0183,3
ElegantArt/Happy/0147,3
Crime/Sad/0094,5
Terror/Angry/0388,0
Interview/Happy/0567,3
Liveshow/Sad/0092,5
Crisis/Neutral/0331,4
Crime/Neutral/0471,4
DailyLife/Angry/0494,0
Crime/Disgust/0070,1
Business/Happy/0232,3
Terror/Sad/0236,5
War/Disgust/0030,1
Conflict/Happy/0090,3
War/Neutral/0527,4
Talkshow/Happy/0441,3
History/Neutral/0439,4
Argue/Fear/0047,2
OfficialEvent/Neutral/0096,4
ScholarReport/Angry/0152,0
Terror/Disgust/0090,1
Terror/Fear/0133,2
Interview/Sad/0113,5
War/Neutral/0459,4
ElegantArt/Surprise/0051,6
Business/Neutral/0388,4
Liveshow/Disgust/0031,1
Talkshow/Happy/0126,3
Social/Angry/0046,0
Argue/Neutral/0441,4
Liveshow/Disgust/0095,1
Contest/Happy/0229,3
Liveshow/Neutral/0361,4
Medicine/Happy/0054,3
History/Surprise/0122,6
Terror/Neutral/0199,4
Contest/Neutral/0584,4
War/Disgust/0098,1
Business/Neutral/0418,4
Speech/Neutral/0276,4
Liveshow/Disgust/0075,1
Argue/Disgust/0068,1
Business/Surprise/0048,6
Talkshow/Neutral/0351,4
Contest/Surprise/0099,6
Crisis/Happy/0145,3
Contest/Disgust/0078,1
Business/Angry/0130,0
Social/Angry/0131,0
Medicine/Sad/0108,5
Liveshow/Angry/0075,0
Speech/Happy/0142,3
Crime/Happy/0197,3
Conflict/Neutral/0262,4
War/Neutral/0236,4
War/Neutral/0413,4
Business/Surprise/0074,6
ScholarReport/Angry/0268,0
DailyLife/Neutral/0114,4
Speech/Surprise/0077,6
Crime/Neutral/0409,4
Liveshow/Happy/0093,3
DailyLife/Happy/0161,3
Speech/Happy/0279,3
Crime/Angry/0240,0
ElegantArt/Neutral/0237,4
Business/Happy/0256,3
Argue/Angry/0224,0
Conflict/Disgust/0131,1
Business/Angry/0121,0
History/Sad/0480,5
History/Sad/0244,5
School/Angry/0123,0
History/Angry/0405,0
Talkshow/Neutral/0210,4
Conflict/Neutral/0231,4
DailyLife/Angry/0566,0
Experiment/Neutral/0113,4
Argue/Happy/0390,3
Conflict/Angry/0160,0
Interview/Neutral/0341,4
Argue/Sad/0222,5
Interview/Neutral/0526,4
History/Surprise/0150,6
Interview/Neutral/0584,4
War/Neutral/0353,4
Argue/Happy/0308,3
Liveshow/Neutral/0190,4
Terror/Angry/0142,0
War/Neutral/0192,4
History/Angry/0252,0
War/Sad/0523,5
Argue/Angry/0322,0
War/Sad/0446,5
ScholarReport/Surprise/0078,6
Action/Neutral/0048,4
War/Fear/0068,2
Business/Happy/0084,3
Interview/Angry/0186,0
History/Angry/0203,0
School/Surprise/0213,6
Talkshow/Surprise/0059,6
Crisis/Neutral/0455,4
Action/Happy/0329,3
Experiment/Angry/0028,0
ElegantArt/Neutral/0140,4
Contest/Neutral/0515,4
DailyLife/Angry/0363,0
ScholarReport/Happy/0511,3
Business/Surprise/0126,6
War/Angry/0464,0
DailyLife/Angry/0581,0
OfficialEvent/Angry/0276,0
Speech/Happy/0069,3
Terror/Angry/0214,0
Social/Neutral/0111,4
Crisis/Sad/0141,5
Speech/Angry/0238,0
Crime/Sad/0263,5
Speech/Neutral/0281,4
Terror/Sad/0130,5
Crisis/Angry/0055,0
War/Neutral/0282,4
Action/Happy/0249,3
History/Sad/0219,5
Crisis/Sad/0086,5
Crime/Surprise/0067,6
War/Fear/0046,2
Interview/Angry/0113,0
ScholarReport/Fear/0059,2
DailyLife/Sad/0316,5
DailyLife/Sad/0259,5
Contest/Sad/0182,5
War/Neutral/0334,4
History/Sad/0741,5
Speech/Sad/0215,5
Interview/Happy/0322,3
History/Angry/0179,0
Crime/Sad/0333,5
Contest/Happy/0294,3
Crime/Fear/0112,2
History/Neutral/0182,4
DailyLife/Surprise/0037,6
ScholarReport/Happy/0484,3
Business/Neutral/0202,4
History/Neutral/0468,4
Crime/Disgust/0042,1
Business/Disgust/0161,1
War/Fear/0091,2
Liveshow/Neutral/0344,4
OfficialEvent/Happy/0308,3
Business/Happy/0317,3
Business/Neutral/0137,4
Business/Happy/0083,3
Interview/Happy/0234,3
ScholarReport/Happy/0202,3
Business/Angry/0103,0
Speech/Neutral/0154,4
ScholarReport/Happy/0464,3
Social/Neutral/0232,4
Speech/Angry/0298,0
Terror/Angry/0265,0
Argue/Neutral/0463,4
Crime/Disgust/0036,1
Argue/Surprise/0063,6
DailyLife/Surprise/0028,6
War/Sad/0449,5
DailyLife/Happy/0137,3
Business/Happy/0263,3
Conflict/Angry/0452,0
War/Angry/0615,0
War/Angry/0130,0
School/Disgust/0039,1
Crisis/Fear/0081,2
Talkshow/Surprise/0043,6
School/Angry/0256,0
History/Neutral/0464,4
