video_name,labels
03747,0
03785,0
03786,0
03805,0
03810,0
03812,0
03838,0
03862,0
03866,0
03904,0
03929,0
03968,0
03978,0
04000,0
04001,0
04010,0
04011,0
04023,0
04024,0
04087,0
04094,0
04096,0
04100,0
04101,0
04128,0
04167,0
04176,0
04214,0
04215,0
04222,0
04225,0
04228,0
04240,0
04286,0
04290,0
04292,0
04293,0
04299,0
04300,0
04301,0
04306,0
04356,0
04418,0
04423,0
04648,0
04695,0
04758,0
04851,0
04864,0
04951,0
05041,0
05067,0
05196,0
05299,0
05301,0
05326,0
05345,0
05443,0
05471,0
05529,0
05567,0
05589,0
05618,0
05633,0
05647,0
05655,0
05718,0
05733,0
05745,0
05750,0
05801,0
05833,0
05834,0
05836,0
05851,0
05852,0
05853,0
05854,0
05855,0
05856,0
05859,0
05860,0
05862,0
05864,0
05865,0
05866,0
05869,0
05871,0
05872,0
05874,0
05877,0
05881,0
05883,0
05884,0
05888,0
05889,0
05890,0
05893,0
05894,0
05895,0
05896,0
05898,0
05902,0
05904,0
05905,0
05906,0
05911,0
05912,0
05913,0
05917,0
05920,0
05921,0
05922,0
05923,0
05924,0
05925,0
05926,0
05928,0
05930,0
05931,0
05936,0
05941,0
05944,0
05945,0
05948,0
05949,0
05951,0
06806,0
06807,0
06814,0
06815,0
06816,0
06818,0
06819,0
06823,0
06824,0
06829,0
06832,0
06837,0
06847,0
06849,0
06853,0
06857,0
06858,0
06860,0
06871,0
06873,0
06874,0
06877,0
06880,0
06881,0
06883,0
06884,0
06885,0
06886,0
06888,0
06891,0
06892,0
06893,0
06898,0
06903,0
06904,0
06906,0
06907,0
06911,0
06918,0
06924,0
06933,0
06954,0
06960,0
06973,0
06977,0
06985,0
06989,0
06990,0
06994,0
06996,0
06998,0
07000,0
07002,0
07005,0
07012,0
07014,0
07022,0
07023,0
07024,0
07028,0
07030,0
07037,0
07047,0
07048,0
07051,0
07055,0
07056,0
07076,0
07088,0
07089,0
07096,0
07103,0
07106,0
07110,0
07116,0
07119,0
07124,0
07127,0
07133,0
07137,0
07144,0
07145,0
07154,0
07157,0
07158,0
07159,0
07164,0
07168,0
07176,0
07180,0
07186,0
07192,0
07194,0
07197,0
07202,0
07205,0
07206,0
07216,0
07218,0
07226,0
07244,0
07253,0
07254,0
07256,0
07268,0
07271,0
07276,0
07277,0
07281,0
07283,0
07288,0
07296,0
07310,0
07314,0
07315,0
07316,0
